time_open,time_close,time_high,time_low,quote.USDT.open,quote.USDT.high,quote.USDT.low,quote.USDT.close,quote.USDT.volume,quote.USDT.market_cap,quote.USDT.timestamp
2013-04-28T00:00:00.000Z,2013-04-28T23:59:59.999Z,2013-04-28T18:50:02.000Z,2013-04-28T20:15:02.000Z,,,,,,,
2013-04-29T00:00:00.000Z,2013-04-29T23:59:59.999Z,2013-04-29T13:15:01.000Z,2013-04-29T05:20:01.000Z,,,,,,,
2013-04-30T00:00:00.000Z,2013-04-30T23:59:59.999Z,2013-04-30T08:25:02.000Z,2013-04-30T18:55:01.000Z,,,,,,,
2013-05-01T00:00:00.000Z,2013-05-01T23:59:59.999Z,2013-05-01T00:15:01.000Z,2013-05-01T19:55:01.000Z,,,,,,,
2013-05-02T00:00:00.000Z,2013-05-02T23:59:59.999Z,2013-05-02T14:25:01.000Z,2013-05-02T14:30:02.000Z,,,,,,,
2013-05-03T00:00:00.000Z,2013-05-03T23:59:59.999Z,2013-05-03T05:30:02.000Z,2013-05-03T03:05:01.000Z,,,,,,,
2013-05-04T00:00:00.000Z,2013-05-04T23:59:59.999Z,2013-05-04T07:15:01.000Z,2013-05-04T06:50:01.000Z,,,,,,,
2013-05-05T00:00:00.000Z,2013-05-05T23:59:59.999Z,2013-05-05T04:20:01.000Z,2013-05-05T07:25:01.000Z,,,,,,,
2013-05-06T00:00:00.000Z,2013-05-06T23:59:59.999Z,2013-05-06T14:25:01.000Z,2013-05-06T21:30:02.000Z,,,,,,,
2013-05-07T00:00:00.000Z,2013-05-07T23:59:59.999Z,2013-05-07T14:40:01.000Z,2013-05-07T14:35:02.000Z,,,,,,,
2013-05-08T00:00:00.000Z,2013-05-08T23:59:59.999Z,2013-05-08T07:55:01.000Z,2013-05-08T00:00:01.000Z,,,,,,,
2013-05-09T00:00:00.000Z,2013-05-09T23:59:59.999Z,2013-05-09T19:20:01.000Z,2013-05-09T03:00:01.000Z,,,,,,,
2013-05-10T00:00:00.000Z,2013-05-10T23:59:59.999Z,2013-05-10T13:15:02.000Z,2013-05-10T02:00:01.000Z,,,,,,,
